stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,2,10,0.0286332,,0.004598,0.0286332,0.5131254,0.5131254,0.5293695,0.8135704,1.036124,right,10,1,1,0.5056785,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
1,2,8,1.0458211,,1.036382,1.0458211,1.5462536,1.5462536,1.5462536,1.8454353,2.0467601,left,-8,1,1,0.4863055,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
2,2,6,2.0631116,,2.0470549,2.0631116,2.5466725,2.5466725,2.5629012,2.8467043,3.2965598,left,-6,1,1,0.7449784,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
3,2,4,3.3125785,,3.2968711,3.3125785,3.7961229,3.7961229,3.8131047,4.0963277,4.3628931,right,4,1,1,0.5655565,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
4,2,2,4.3796453,,4.3630945,4.3796453,4.862649,4.862649,4.8800432,5.1628166,5.7294631,right,2,1,1,0.8619464,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
5,1,1,5.7455461,,5.7298267,5.7455461,6.2297208,6.2297208,6.2457903,6.529799,7.0128589,right,1,0,0,0.7776733,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
6,1,2,7.0301984,,7.0130576,7.0301984,7.5132087,7.5132087,7.5294797,7.8305652,8.5139848,right,2,0,0,0.9858258,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
7,1,3,8.529381,,8.5142455,8.529381,9.0296749,9.0296749,9.0296749,9.3291345,9.5296498,right,3,1,1,0.4926419,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
8,1,3,9.5470338,,9.5298799,9.5470338,10.0298785,10.0298785,10.0462874,10.3297357,10.5960663,right,3,1,1,0.5538044,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
9,1,3,10.6129054,,10.5962946,10.6129054,11.0970784,11.0970784,11.113961,11.3956983,11.929948,right,3,1,1,0.8292762,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
10,0.5,2,11.9464274,,11.9302312,11.9464274,12.4298952,12.4298952,12.4465959,12.7290599,13.1463305,right,2,0,0,0.7088014,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
11,0.5,2.5,13.1634057,,13.1466551,13.1634057,13.6634694,13.6634694,13.6634694,13.963281,14.5801838,left,-2.5,1,1,0.9086973,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
12,0.5,2.5,14.5968102,,14.5804647,14.5968102,15.0798394,15.0798394,15.0962043,15.379187,15.9974712,left,-2.5,1,1,0.9171245,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
13,0.5,2.5,16.0122604,,15.9977057,16.0122604,16.5133575,16.5133575,16.5133575,16.8127031,16.9131518,left,-2.5,0,0,0.3841978,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
14,0.5,3,16.929653,,16.9134008,16.929653,17.4128959,17.4128959,17.4296443,17.7135308,18.3963273,left,-3,0,0,0.9827741,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
15,0.5,3.5,18.4127462,,18.3965673,18.4127462,18.8964439,18.8964439,18.9134779,19.1964391,19.6471651,right,3.5,1,1,0.7499503,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
16,0.5,3.5,19.6632531,,19.6473985,19.6632531,20.1634616,20.1634616,20.1634616,20.4630945,20.8964955,left,-3.5,1,1,0.7226358,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
17,0.5,3.5,20.9127938,,20.8967963,20.9127938,21.3967845,21.3967845,21.4132496,21.6964658,21.9798951,left,-3.5,1,1,0.5685365,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
18,0.5,3,21.9961785,,21.9801299,21.9961785,22.4797674,22.4797674,22.4962388,22.779999,23.130205,right,3,1,1,0.6457799,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
19,0.5,3,23.1456656,,23.1305152,23.1456656,23.6296695,23.6296695,23.6468517,23.9305802,24.1131765,left,-3,1,1,0.4777168,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
20,0.5,3,24.1298757,,24.1134036,24.1298757,24.61348,24.61348,24.629937,24.9128911,25.5299677,left,-3,1,1,0.9031017,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
21,0.5,2.5,25.5460589,,25.5301665,25.5460589,26.029872,26.029872,26.0461827,26.3295182,26.6466913,left,-2.5,0,0,0.6107345,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
22,0.5,3,26.6630457,,26.6469788,26.6630457,27.146528,27.146528,27.1633198,27.4469164,27.8961384,right,3,1,1,0.7394004,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
23,0.5,3,27.9136493,,27.8964293,27.9136493,28.3967635,28.3967635,28.4136055,28.6966397,28.9136424,right,3,1,1,0.5141874,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
24,0.5,3,28.9302356,,28.9139893,28.9302356,29.4138717,29.4138717,29.4305885,29.7137485,29.8965854,right,3,0,0,0.4779648,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
25,0.5,3.5,29.9130584,,29.8968028,29.9130584,30.3970389,30.3970389,30.4137413,30.6969123,31.5144375,left,-3.5,1,1,1.1147323,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
26,0.5,3.5,31.5301362,,31.5147549,31.5301362,32.0305444,32.0305444,32.0305444,32.3298939,32.9299486,right,3.5,1,1,0.8939121,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
27,0.5,3.5,32.9465282,,32.9302157,32.9465282,33.430369,33.430369,33.4467006,33.7301523,34.4303709,left,-3.5,1,1,0.9994262,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
28,0.5,3,34.446713,,34.4305728,34.446713,34.930478,34.930478,34.9469554,35.2300318,35.8974781,left,-3,1,1,0.9638518,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
29,0.5,3,35.9133569,,35.8976864,35.9133569,36.4137999,36.4137999,36.4137999,36.7138644,37.1467363,left,-3,1,1,0.7167434,11,1,2025-08-28_21h34.02.703,adaptive_staircase_exp_psychopy,,2025.1.1,61.93848888,2025-08-28 21h34.11.331520 +0530
