cue_arrow,target_x,condition,corr_Ans,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,start_key.started,welcome.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,fixation.stopped,cue_text.started,cue_text.stopped,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thankyou.started,text.started,text.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.006260299996938556,0.01832319999812171,0.01832319999812171,15.639704899993376,space,15.461616100001265,None,,,,,,,,,,,,,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,-0.5,valid,left,0,0,0,left,1,0.47728010000719223,None,0,0,0,5,15.681149600000936,,,,,,,,,15.669023800001014,15.681149600000936,16.154232700006105,16.154232700006105,16.45441690000007,16.754950200003805,16.754950200003805,17.238098000001628,left,1,0.47728010000719223,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,1,1,0,right,1,0.42302339999878313,None,0,1,1,7,17.254133499998716,,,,,,,,,17.244435999993584,17.254133499998716,17.73879709999892,17.73879709999892,18.038090500005637,18.338712500000838,18.338712500000838,18.77182599999651,right,1,0.42302339999878313,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,-0.5,valid,left,2,2,0,left,1,0.2013848000060534,None,0,2,2,6,18.788537400003406,,,,,,,,,18.774490499999956,18.788537400003406,19.271657599994796,19.271657599994796,19.57201059999352,19.872618900000816,19.872618900000816,20.087901899998542,left,1,0.2013848000060534,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,3,3,0,right,1,0.3506793000124162,None,0,3,3,2,20.105975200000103,,,,,,,,,20.09007730000303,20.105975200000103,20.588723599998048,20.588723599998048,20.88876220000384,21.188487699997495,21.188487699997495,21.55487659999926,right,1,0.3506793000124162,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,-0.5,valid,left,4,4,0,left,1,0.307169799998519,None,0,4,4,1,21.57180239999434,,,,,,,,,21.557079200007138,21.57180239999434,22.055267599993385,22.055267599993385,22.354403399993316,22.65610700000252,22.65610700000252,22.972930699994322,left,1,0.307169799998519,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,0.5,invalid,right,5,5,0,right,1,0.6828900999971665,None,0,5,5,9,22.987741899996763,,,,,,,,,22.97349519999989,22.987741899996763,23.48899579999852,23.48899579999852,23.772259100005613,24.088537200004794,24.088537200004794,24.772382399998605,right,1,0.6828900999971665,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,-0.5,valid,left,6,6,0,left,1,0.47099050000542775,None,0,6,6,4,24.78723089999403,,,,,,,,,24.773108099994715,24.78723089999403,25.27221969999664,25.27221969999664,25.571706999995513,25.870381100001396,25.870381100001396,26.35528200000408,left,1,0.47099050000542775,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,7,7,0,right,1,0.4097634000063408,None,0,7,7,3,26.372668500000145,,,,,,,,,26.357478499994613,26.372668500000145,26.855380399996648,26.855380399996648,27.15493790000619,27.47225010000693,27.47225010000693,27.88933089999773,right,1,0.4097634000063408,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,8,8,0,right,1,0.4392066000000341,None,0,8,8,0,27.90450509999937,,,,,,,,,27.88989720000245,27.90450509999937,28.388889399997424,28.388889399997424,28.705638900006306,29.004951099996106,29.004951099996106,29.455343299996457,right,1,0.4392066000000341,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
