delay,freq,conditions,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.4,400,unexp,0,0,0,space,0.4152337999548763,None,500,1,[4.42646759992931],[4.426494200015441],0,0,0,1,0.05437100003473461,,0.043122799950651824,0.05437100003473461,1.0005238000303507,1.0005238000303507,1.0675402999622747,1.572190299979411,space,0.4152337999548763,None,1.5729401999851689,1.9842353666356454,2.3183798999525607,2.2819933999562636,2.28358859999571,2.3183798999525607,2.3183798999525607,2.3183798999525607,6.745532499975525,500,1,[4.42646759992931],[4.426494200015441],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.7,1000,exp,1,1,0,space,0.7339837000472471,None,200,1,[2.789090200094506],[2.7890959000214934],0,1,1,5,6.752898599952459,,6.74580509995576,6.752898599952459,7.752180199953727,7.752180199953727,7.752180199953727,8.503072499996051,space,0.7339837000472471,None,8.504215199965984,9.202941166648332,9.514118999941275,9.498772899969481,9.499512100010179,9.514118999941275,9.514118999941275,9.514118999941275,12.303487199940719,200,1,[2.789090200094506],[2.7890959000214934],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.1,400,unexp,2,2,0,space,0.8124984999885783,None,400,1,[5.061089499969967],[5.061096799909137],0,2,2,0,12.31923080002889,,12.303693099995144,12.31923080002889,13.303144700010307,13.303144700010307,13.319763800012879,14.120104799978435,space,0.8124984999885783,None,14.121223199996166,14.219369366710696,14.54112269997131,14.522687299991958,14.523249899968505,14.54112269997131,14.54112269997131,14.54112269997131,19.602522099972703,400,1,[5.061089499969967],[5.061096799909137],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.1,1000,exp,3,3,0,space,0.43485750001855195,None,550,1,[6.998041299986653],[6.9980472000315785],0,3,3,6,19.618586299940944,,19.6027423000196,19.618586299940944,20.60259240004234,20.60259240004234,20.61956070002634,21.05315769999288,space,0.43485750001855195,None,21.05401459999848,21.16923786671056,21.487211099942215,21.47038529999554,21.47101159999147,21.487211099942215,21.487211099942215,21.487211099942215,28.48555209999904,550,1,[6.998041299986653],[6.9980472000315785],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.4,1000,exp,4,4,0,space,0.3233132999157533,None,150,1,[6.722118300036527],[6.722126599983312],0,4,4,7,28.501097799977288,,28.485755800036713,28.501097799977288,29.485345499939285,29.485345499939285,29.501368499943055,29.819282799959183,space,0.3233132999157533,None,29.820005999994464,30.218917166643465,30.52994239993859,30.514937600004487,30.51551419997122,30.52994239993859,30.52994239993859,30.52994239993859,37.25237649993505,150,1,[6.722118300036527],[6.722126599983312],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.1,400,unexp,5,5,0,space,0.43777409999165684,None,500,1,[10.704637299990281],[10.70464410004206],0,5,5,3,37.26810989994556,,37.25259299995378,37.26810989994556,38.251777500030585,38.251777500030585,38.26815080002416,38.70198909996543,space,0.43777409999165684,None,38.702503200038336,38.80150436662758,39.11497310001869,39.102197399945,39.10258750000503,39.11497310001869,39.11497310001869,39.11497310001869,49.81989040004555,500,1,[10.704637299990281],[10.70464410004206],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.7,400,unexp,6,6,0,space,0.5394000000087544,None,450,1,[7.083151399972849],[7.0831574000185356],0,6,6,2,49.836175499949604,,49.82010380004067,49.836175499949604,50.819333799998276,50.819333799998276,50.837241300032474,51.370498699950986,space,0.5394000000087544,None,51.371222499990836,52.07041796663931,52.38347779994365,52.36437940003816,52.36491649993695,52.38347779994365,52.38347779994365,52.38347779994365,59.466944199986756,450,1,[7.083151399972849],[7.0831574000185356],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.4,1000,exp,7,7,0,space,0.2920965999364853,None,200,1,[3.4953525000019],[3.4953586999326944],0,7,7,13,59.481721599935554,,59.46716400003061,59.481721599935554,60.48217269999441,60.48217269999441,60.48217269999441,60.783934699953534,space,0.2920965999364853,None,60.784826099989004,61.19932816661118,61.51356059999671,61.495507000014186,61.496124999946915,61.51356059999671,61.51356059999671,61.51356059999671,65.00929730001371,200,1,[3.4953525000019],[3.4953586999326944],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.7,1000,exp,8,8,0,space,0.5095130000263453,None,250,1,[4.1545187999727204],[4.154524699901231],0,8,8,14,65.02561350003816,,65.00950599997304,65.02561350003816,66.01009520003572,66.01009520003572,66.02623970003333,66.52724700002,space,0.5095130000263453,None,66.52805209998041,67.22640236671238,67.54363219998777,67.52551319997292,67.52606599999126,67.54363219998777,67.54363219998777,67.54363219998777,71.69846730004065,250,1,[4.1545187999727204],[4.154524699901231],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.7,1000,exp,9,9,0,space,0.6554740000283346,None,100,1,[3.0008866999996826],[3.0008989000925794],0,9,9,8,71.71402109996416,,71.69867249997333,71.71402109996416,72.71454650000669,72.71454650000669,72.71454650000669,73.38117349997628,space,0.6554740000283346,None,73.38229959993623,74.08054606669272,74.39342229999602,74.37476010003593,74.37532480002847,74.39342229999602,74.39342229999602,74.39342229999602,77.39466550003272,100,1,[3.0008866999996826],[3.0008989000925794],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.7,1000,exp,10,10,0,space,0.48127760004717857,None,330,1,[4.442511599976569],[4.442517600022256],0,10,10,11,77.41052559996024,,77.39487209997606,77.41052559996024,78.40995500003919,78.40995500003919,78.40995500003919,78.8940979000181,space,0.48127760004717857,None,78.89490219997242,79.59445296664877,79.91420749993995,79.89700939995237,79.89763240003958,79.91420749993995,79.91420749993995,79.91420749993995,84.35701219993643,330,1,[4.442511599976569],[4.442517600022256],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.1,1000,exp,11,11,0,space,0.2320686000166461,None,150,1,[3.570499600027688],[3.5705212000757456],0,11,11,15,84.37221269996371,,84.35722130001523,84.37221269996371,85.35652999999002,85.35652999999002,85.37256469996646,85.59002220002003,space,0.2320686000166461,None,85.5909616999561,85.68971146661012,86.00375459995121,85.98723510000855,85.98796549998224,86.00375459995121,86.00375459995121,86.00375459995121,89.5748613999458,150,1,[3.570499600027688],[3.5705212000757456],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.4,1000,exp,12,12,0,space,0.39469570002984256,None,140,1,[3.008765000035055],[3.0087707000784576],0,12,12,4,89.58922790002543,,89.57527659996413,89.58922790002543,90.58985220000613,90.58985220000613,90.58985220000613,90.99095969996415,space,0.39469570002984256,None,90.9922399999341,91.39008436660903,91.70247290004045,91.68481480004266,91.68535299994983,91.70247290004045,91.70247290004045,91.70247290004045,94.71168109995779,140,1,[3.008765000035055],[3.0087707000784576],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.1,1000,exp,13,13,0,space,1.8402553000487387,None,200,1,[3.2674671000568196],[3.267474199994467],0,13,13,9,94.72580230003223,,94.71188069996424,94.72580230003223,95.7266682999907,95.7266682999907,95.7266682999907,97.57801569998264,space,1.8402553000487387,None,97.5792682999745,97.6933336666009,98.01363900001161,97.99697450001258,97.99753309995867,98.01363900001161,98.01363900001161,98.01363900001161,101.28142420004588,200,1,[3.2674671000568196],[3.267474199994467],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.4,1000,exp,14,14,0,space,0.4527859999798238,None,180,1,[5.261865600012243],[5.261877199984156],0,14,14,10,101.29882000002544,,101.28165060002357,101.29882000002544,102.28253229998518,102.28253229998518,102.29873929999303,102.74926549999509,space,0.4527859999798238,None,102.7502118999837,103.14892246661863,103.4650633999845,103.44795910001267,103.44857030001003,103.4650633999845,103.4650633999845,103.4650633999845,108.72744439996313,180,1,[5.261865600012243],[5.261877199984156],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
