cue_arrow,target_x,condition,corr_Ans,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,start_key.started,welcome.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,fixation.stopped,cue_text.started,cue_text.stopped,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thankyou.started,text.started,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.00685469999734778,0.01705700000457,0.01705700000457,1.825130099998205,space,1.7021024999994552,None,,,,,,,,,,,,,,,,04,001,2025-11-14_23h25.46.410,cueing_task_exp,,2025.1.1,60.10677367408955,2025-11-14 23h25.53.150921 +0530,
←,-0.5,valid,left,0,0,0,left,1,0.3135254999942845,None,0,0,0,6,1.860569900003611,,,,,,,,,1.8492429000034463,1.860569900003611,2.330463200007216,2.330463200007216,2.630283000005875,2.9300044999981765,2.9300044999981765,3.2464695000089705,left,1,0.3135254999942845,None,,,,04,001,2025-11-14_23h25.46.410,cueing_task_exp,,2025.1.1,60.10677367408955,2025-11-14 23h25.53.150921 +0530,
→,-0.5,invalid,left,1,1,0,left,1,1.741508100007195,None,0,1,1,8,3.261411900006351,,,,,,,,,3.2516505000094185,3.261411900006351,3.7639868999976898,3.7639868999976898,4.046607500000391,4.345644700006233,4.345644700006233,6.096530700000585,left,1,1.741508100007195,None,,,,04,001,2025-11-14_23h25.46.410,cueing_task_exp,,2025.1.1,60.10677367408955,2025-11-14 23h25.53.150921 +0530,
→,0.5,valid,right,2,2,0,right,1,0.26728869999351446,None,0,2,2,3,6.114190000007511,,,,,,,,,6.097011400008341,6.114190000007511,6.595879200001946,6.595879200001946,6.914219099999173,7.197332199997618,7.197332199997618,7.479687200000626,right,1,0.26728869999351446,None,,,,04,001,2025-11-14_23h25.46.410,cueing_task_exp,,2025.1.1,60.10677367408955,2025-11-14 23h25.53.150921 +0530,
→,0.5,valid,right,3,3,0,right,1,0.2638896999997087,None,0,3,3,2,7.497145400004229,,,,,,,,,7.480135500009055,7.497145400004229,7.980690099997446,7.980690099997446,8.278642000004766,8.580452100010007,8.580452100010007,8.846329500011052,right,1,0.2638896999997087,None,,,,04,001,2025-11-14_23h25.46.410,cueing_task_exp,,2025.1.1,60.10677367408955,2025-11-14 23h25.53.150921 +0530,
←,0.5,invalid,right,4,4,0,right,1,0.7624459999933606,None,0,4,4,9,8.862204300006852,,,,,,,,,8.848662800010061,8.862204300006852,9.347598000007565,9.347598000007565,9.646761900003185,9.946901200004504,9.946901200004504,10.713924199997564,right,1,0.7624459999933606,None,,,,04,001,2025-11-14_23h25.46.410,cueing_task_exp,,2025.1.1,60.10677367408955,2025-11-14 23h25.53.150921 +0530,
←,-0.5,valid,left,5,5,0,left,1,0.49739030000637285,None,0,5,5,1,10.729010100010782,,,,,,,,,10.714468999998644,10.729010100010782,11.212561100008315,11.212561100008315,11.529235800000606,11.814004100000602,11.814004100000602,12.31356070000038,left,1,0.49739030000637285,None,,,,04,001,2025-11-14_23h25.46.410,cueing_task_exp,,2025.1.1,60.10677367408955,2025-11-14 23h25.53.150921 +0530,
←,-0.5,valid,left,6,6,0,left,1,0.45029400000930764,None,0,6,6,5,12.329219400009606,,,,,,,,,12.314018600009149,12.329219400009606,12.81422559999919,12.81422559999919,13.113651300009224,13.41377420000208,13.41377420000208,13.880015200003982,left,1,0.45029400000930764,None,,,,04,001,2025-11-14_23h25.46.410,cueing_task_exp,,2025.1.1,60.10677367408955,2025-11-14 23h25.53.150921 +0530,
→,0.5,valid,right,7,7,0,right,1,0.37701410001318436,None,0,7,7,7,13.896640500010108,,,,,,,,,13.882383800009848,13.896640500010108,14.380833200004417,14.380833200004417,14.679268599997158,14.980215000003227,14.980215000003227,15.363398500005133,right,1,0.37701410001318436,None,,,,04,001,2025-11-14_23h25.46.410,cueing_task_exp,,2025.1.1,60.10677367408955,2025-11-14 23h25.53.150921 +0530,
→,0.5,valid,right,8,8,0,right,1,0.45548789999156725,None,0,8,8,0,15.378969500001404,,,,,,,,,15.363993999999366,15.378969500001404,15.863939300004859,15.863939300004859,16.16416690000915,16.464210100006312,16.464210100006312,16.929646200005664,right,1,0.45548789999156725,None,,,,04,001,2025-11-14_23h25.46.410,cueing_task_exp,,2025.1.1,60.10677367408955,2025-11-14 23h25.53.150921 +0530,
