thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,[np.float64(-0.05925925925925926)],[np.float64(0.3101851851851852)],[1],[0],[0],[1.4233864000016183],['target'],0,0,0,0,0.0445097,,10,0.0318311,0.0445097,0.0445097,0.031858,1.4553054,[np.float64(-0.05925925925925926)],[np.float64(0.3101851851851852)],[1],[0],[0],[1.4233864000016183],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
1,0,1,[np.float64(-0.25092592592592594)],[np.float64(-0.37222222222222223)],[1],[0],[0],[2.6194304000000557],['target'],1,0,1,0,1.5072145,,10,1.4922493,1.5072145,1.5072145,0.0368258,4.1117356,[np.float64(-0.25092592592592594)],[np.float64(-0.37222222222222223)],[1],[0],[0],[2.6194304000000557],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
2,0,2,[np.float64(0.1)],[np.float64(0.3861111111111111)],[1],[0],[0],[3.300103899999158],['target'],2,0,2,0,4.1388965,,10,4.1290456,4.1388965,4.1388965,0.0171885,7.4292192,[np.float64(0.1)],[np.float64(0.3861111111111111)],[1],[0],[0],[3.300103899999158],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
3,0,3,[np.float64(0.040740740740740744)],[np.float64(-0.33611111111111114)],[1],[0],[0],[1.988436300000103],['target'],3,0,3,0,7.4486121,,5,7.4401599,7.4486121,7.4486121,0.0108205,9.4286656,[np.float64(0.040740740740740744)],[np.float64(-0.33611111111111114)],[1],[0],[0],[1.988436300000103],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
4,0,4,[np.float64(0.11481481481481481)],[np.float64(-0.1388888888888889)],[1],[0],[0],[1.624313300000722],['target'],4,0,4,0,9.4445057,,5,9.4372651,9.4445057,9.4445057,0.008499,11.0616444,[np.float64(0.11481481481481481)],[np.float64(-0.1388888888888889)],[1],[0],[0],[1.624313300000722],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
5,0,5,[np.float64(0.262037037037037)],[np.float64(-0.04814814814814815)],[1],[0],[0],[1.7059779999999591],['target'],5,0,5,0,11.0810186,,5,11.0726211,11.0810186,11.0810186,0.0108798,12.7786535,[np.float64(0.262037037037037)],[np.float64(-0.04814814814814815)],[1],[0],[0],[1.7059779999999591],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
6,0,6,[np.float64(0.41203703703703703)],[np.float64(-0.07314814814814814)],[1],[0],[0],[2.045376199999737],['target'],6,0,6,0,12.7957641,,5,12.7882259,12.7957641,12.7957641,0.0094806,14.8336642,[np.float64(0.41203703703703703)],[np.float64(-0.07314814814814814)],[1],[0],[0],[2.045376199999737],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
7,0,7,[np.float64(0.24444444444444444)],[np.float64(0.08611111111111111)],[1],[0],[0],[1.3770377000000735],[None],7,0,7,0,14.8505126,,5,14.8428294,14.8505126,14.8505126,0.0090781,16.2199361,[np.float64(0.24444444444444444)],[np.float64(0.08611111111111111)],[1],[0],[0],[1.3770377000000735],[None],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
8,0,8,[np.float64(-0.08148148148148149)],[np.float64(0.016666666666666666)],[1],[0],[0],[4.183173700001134],[None],8,0,8,0,16.2573651,,10,16.245076,16.2573651,16.2573651,0.0250362,20.4283135,[np.float64(-0.08148148148148149)],[np.float64(0.016666666666666666)],[1],[0],[0],[4.183173700001134],[None],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
9,0,9,[np.float64(-0.2675925925925926)],[np.float64(-0.075)],[1],[0],[0],[1.685705700001563],['target'],9,0,9,0,20.4517166,,5,20.4426987,20.4517166,20.4517166,0.0142614,22.1284651,[np.float64(-0.2675925925925926)],[np.float64(-0.075)],[1],[0],[0],[1.685705700001563],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
