study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,Test_words,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
poster,0,0,0,1.3222222222222222,1.071909299818799,,,,,,,,,,,,0,0,0,14,,,,,0.04465870000422001,,0.024998199893161654,0.04465870000422001,0.04465870000422001,1.1132269999943674,1.3222222222222222,1.071909299818799,,,,,,,,,,,,,,,,,,,1,001,2025-10-14_12h27.55.889,Word_priming_exp,,2025.1.1,60.13872800995439,2025-10-14 12h28.00.802337 +0530,
laptop,1,1,0,1.8592592592592592,1.0307608000002801,,,,,,,,,,,,0,1,1,5,,,,,1.12843279982917,,1.1174755999818444,1.12843279982917,1.12843279982917,2.163626099936664,1.8592592592592592,1.0307608000002801,,,,,,,,,,,,,,,,,,,1,001,2025-10-14_12h27.55.889,Word_priming_exp,,2025.1.1,60.13872800995439,2025-10-14 12h28.00.802337 +0530,
cushion,2,2,0,2.2444444444444445,1.3765684999525547,,,,,,,,,,,,0,2,2,1,,,,,2.1887142998166382,,2.170636900002137,2.1887142998166382,2.1887142998166382,3.5633491999469697,2.2444444444444445,1.3765684999525547,,,,,,,,,,,,,,,,,,,1,001,2025-10-14_12h27.55.889,Word_priming_exp,,2025.1.1,60.13872800995439,2025-10-14 12h28.00.802337 +0530,
marble ,3,3,0,1.8592592592592592,1.2690165000967681,,,,,,,,,,,,0,3,3,3,,,,,3.5781644999515265,,3.5660325998906046,3.5781644999515265,3.5781644999515265,4.8500262999441475,1.8592592592592592,1.2690165000967681,,,,,,,,,,,,,,,,,,,1,001,2025-10-14_12h27.55.889,Word_priming_exp,,2025.1.1,60.13872800995439,2025-10-14 12h28.00.802337 +0530,
phone,4,4,0,1.4370370370370371,1.4815229000523686,,,,,,,,,,,,0,4,4,2,,,,,4.869295099982992,,4.854189299978316,4.869295099982992,4.869295099982992,6.349992600036785,1.4370370370370371,1.4815229000523686,,,,,,,,,,,,,,,,,,,1,001,2025-10-14_12h27.55.889,Word_priming_exp,,2025.1.1,60.13872800995439,2025-10-14 12h28.00.802337 +0530,
board,5,5,0,2.2814814814814817,4.364073200151324,,,,,,,,,,,,0,5,5,4,,,,,6.366046599810943,,6.353970399824902,6.366046599810943,6.366046599810943,10.733694899827242,2.2814814814814817,4.364073200151324,,,,,,,,,,,,,,,,,,,1,001,2025-10-14_12h27.55.889,Word_priming_exp,,2025.1.1,60.13872800995439,2025-10-14 12h28.00.802337 +0530,
book,6,6,0,1.1925925925925926,4.548805500147864,,,,,,,,,,,,0,6,6,0,,,,,10.748621699865907,,10.735859700012952,10.748621699865907,10.748621699865907,15.300445299828425,1.1925925925925926,4.548805500147864,,,,,,,,,,,,,,,,,,,1,001,2025-10-14_12h27.55.889,Word_priming_exp,,2025.1.1,60.13872800995439,2025-10-14 12h28.00.802337 +0530,
mouse,7,7,0,1.8296296296296297,2.2816289998590946,,,,,,,,,,,,0,7,7,8,,,,,15.315535999834538,,15.3028235998936,15.315535999834538,15.315535999834538,17.601464399835095,1.8296296296296297,2.2816289998590946,,,,,,,,,,,,,,,,,,,1,001,2025-10-14_12h27.55.889,Word_priming_exp,,2025.1.1,60.13872800995439,2025-10-14 12h28.00.802337 +0530,
pastry,8,8,0,2.2555555555555555,1.8130809001158923,,,,,,,,,,,,0,8,8,9,,,,,17.615395999979228,,17.605121299857274,17.615395999979228,17.615395999979228,19.434967999812216,2.2555555555555555,1.8130809001158923,,,,,,,,,,,,,,,,,,,1,001,2025-10-14_12h27.55.889,Word_priming_exp,,2025.1.1,60.13872800995439,2025-10-14 12h28.00.802337 +0530,
case,9,9,0,1.6666666666666667,4.664799900026992,,,,,,,,,,,,0,9,9,10,,,,,19.449465499958023,,19.437203099951148,19.449465499958023,19.449465499958023,24.116330899996683,1.6666666666666667,4.664799900026992,,,,,,,,,,,,,,,,,,,1,001,2025-10-14_12h27.55.889,Word_priming_exp,,2025.1.1,60.13872800995439,2025-10-14 12h28.00.802337 +0530,
