thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.17037037037037037)],[np.float64(0.06481481481481481)],[1],[0],[0],[2.177870100000291],['target'],0,0,0,0,0.08009399999900779,,10,0.057025799998882576,0.08009399999900779,0.08009399999900779,0.05707239999901503,2.234969799999817,[np.float64(-0.17037037037037037)],[np.float64(0.06481481481481481)],[1],[0],[0],[2.177870100000291],['target'],4,001,2025-09-29_13h20.42.831,Visual_Search_exp,,2025.1.1,59.701599465872754,2025-09-29 13h20.50.777818 +0530,
1,0,1,[np.float64(0.13333333333333333)],[np.float64(0.3731481481481482)],[1],[0],[0],[2.3020402000001923],['target'],1,0,1,0,2.270485399998506,,10,2.2569910999991407,2.270485399998506,2.270485399998506,0.021878300000025774,4.559182699998928,[np.float64(0.13333333333333333)],[np.float64(0.3731481481481482)],[1],[0],[0],[2.3020402000001923],['target'],4,001,2025-09-29_13h20.42.831,Visual_Search_exp,,2025.1.1,59.701599465872754,2025-09-29 13h20.50.777818 +0530,
2,0,2,[np.float64(0.15092592592592594)],[np.float64(0.010185185185185186)],[1],[0],[0],[2.451645000001008],['target'],2,0,2,0,4.587944499999139,,5,4.574660299998868,4.587944499999139,4.587944499999139,0.015240599999742699,7.026461899999049,[np.float64(0.15092592592592594)],[np.float64(0.010185185185185186)],[1],[0],[0],[2.451645000001008],['target'],4,001,2025-09-29_13h20.42.831,Visual_Search_exp,,2025.1.1,59.701599465872754,2025-09-29 13h20.50.777818 +0530,
3,0,3,[np.float64(0.23333333333333334)],[np.float64(0.33240740740740743)],[1],[0],[0],[2.3019685999988724],['target'],3,0,3,0,7.056070099999488,,5,7.041934899998523,7.056070099999488,7.056070099999488,0.015279299999747309,9.344012899999143,[np.float64(0.23333333333333334)],[np.float64(0.33240740740740743)],[1],[0],[0],[2.3019685999988724],['target'],4,001,2025-09-29_13h20.42.831,Visual_Search_exp,,2025.1.1,59.701599465872754,2025-09-29 13h20.50.777818 +0530,
4,0,4,[np.float64(-0.025925925925925925)],[np.float64(-0.020370370370370372)],[1],[0],[0],[2.0345143000013195],['target'],4,0,4,0,9.37382289999914,,5,9.359081499998865,9.37382289999914,9.37382289999914,0.01492569999936677,11.393825399998605,[np.float64(-0.025925925925925925)],[np.float64(-0.020370370370370372)],[1],[0],[0],[2.0345143000013195],['target'],4,001,2025-09-29_13h20.42.831,Visual_Search_exp,,2025.1.1,59.701599465872754,2025-09-29 13h20.50.777818 +0530,
5,0,5,[np.float64(0.03518518518518519)],[np.float64(0.19074074074074074)],[1],[0],[0],[1.951992500000415],['target'],5,0,5,0,11.424462199998743,,5,11.41064219999862,11.424462199998743,11.424462199998743,0.016666499999701045,13.362745399999767,[np.float64(0.03518518518518519)],[np.float64(0.19074074074074074)],[1],[0],[0],[1.951992500000415],['target'],4,001,2025-09-29_13h20.42.831,Visual_Search_exp,,2025.1.1,59.701599465872754,2025-09-29 13h20.50.777818 +0530,
6,0,6,[np.float64(0.07685185185185185)],[np.float64(0.1814814814814815)],[1],[0],[0],[2.1062199999996665],['target'],6,0,6,0,13.56303829999888,,10,13.545562999999675,13.56303829999888,13.56303829999888,0.18265770000107295,15.651874499999394,[np.float64(0.07685185185185185)],[np.float64(0.1814814814814815)],[1],[0],[0],[2.1062199999996665],['target'],4,001,2025-09-29_13h20.42.831,Visual_Search_exp,,2025.1.1,59.701599465872754,2025-09-29 13h20.50.777818 +0530,
7,0,7,[np.float64(0.47129629629629627)],[np.float64(-0.058333333333333334)],[1],[0],[0],[2.8801251999993838],['target'],7,0,7,0,15.698983599999337,,10,15.681346699999267,15.698983599999337,15.698983599999337,0.029293499999766937,18.561560199999803,[np.float64(0.47129629629629627)],[np.float64(-0.058333333333333334)],[1],[0],[0],[2.8801251999993838],['target'],4,001,2025-09-29_13h20.42.831,Visual_Search_exp,,2025.1.1,59.701599465872754,2025-09-29 13h20.50.777818 +0530,
8,0,8,[np.float64(0.03333333333333333)],[np.float64(0.3814814814814815)],[1],[0],[0],[2.5336294999997335],['target'],8,0,8,0,18.5917343000001,,5,18.577739799999108,18.5917343000001,18.5917343000001,0.01600739999958023,21.111479099999997,[np.float64(0.03333333333333333)],[np.float64(0.3814814814814815)],[1],[0],[0],[2.5336294999997335],['target'],4,001,2025-09-29_13h20.42.831,Visual_Search_exp,,2025.1.1,59.701599465872754,2025-09-29 13h20.50.777818 +0530,
9,0,9,[np.float64(-0.15833333333333333)],[np.float64(-0.2916666666666667)],[1],[0],[0],[4.775711800000863],['target'],9,0,9,0,21.16120239999873,,10,21.14296859999922,21.16120239999873,21.16120239999873,0.031248299999788287,25.91878899999938,[np.float64(-0.15833333333333333)],[np.float64(-0.2916666666666667)],[1],[0],[0],[4.775711800000863],['target'],4,001,2025-09-29_13h20.42.831,Visual_Search_exp,,2025.1.1,59.701599465872754,2025-09-29 13h20.50.777818 +0530,
