thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,up,1,0.4903033999726176,None,0,0,0,0,0,0.01674639992415905,,0.007842899998649955,0.01674639992415905,1.0893868999555707,1.1076388000510633,1.7307476000860333,up,1,0.4903033999726176,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
1,0,1,up,1,0.5792956000659615,None,0,1,0,1,0,1.7406031000427902,,1.7312431999016553,1.7406031000427902,2.733167599886656,2.748581300023943,3.315770999994129,up,1,0.5792956000659615,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
2,0,2,down,1,0.6235301999840885,None,4,2,0,2,0,3.331479199929163,,3.316077800001949,3.331479199929163,4.317802499979734,4.333153399871662,4.948998200008646,down,1,0.6235301999840885,None,4,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
3,0,3,down,0,0.6560788999777287,None,0,3,0,3,0,4.965943200048059,,4.949238799978048,4.965943200048059,5.949926999863237,5.9668771000579,6.616813499946147,down,0,0.6560788999777287,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
4,0,4,down,1,0.68576669995673,None,-2,4,0,4,0,6.631938699865714,,6.617072900058702,6.631938699865714,7.616046899929643,7.63330619991757,8.316265099914744,down,1,0.68576669995673,None,-2,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
5,0,5,down,1,0.6933472000528127,None,-2,5,0,5,0,8.332571299979463,,8.316580299986526,8.332571299979463,9.316600000020117,9.335853799944744,10.015757099958137,down,1,0.6933472000528127,None,-2,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
6,0,6,up,0,0.49680990003980696,None,-2,6,0,6,0,10.031302500050515,,10.016021099872887,10.031302500050515,11.016665099887177,11.03295459994115,11.517935199895874,up,0,0.49680990003980696,None,-2,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
7,0,7,up,1,0.5580342998728156,None,0,7,0,7,0,11.53214029991068,,11.51836370001547,11.53214029991068,12.532878699945286,12.532878699945286,13.099672799929976,up,1,0.5580342998728156,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
8,0,8,down,1,0.6958331998903304,None,1,8,0,8,0,13.115802499931306,,13.099979300051928,13.115802499931306,14.099689099937677,14.116343199973926,14.800960399908945,down,1,0.6958331998903304,None,1,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
9,0,9,down,0,0.7559203999117017,None,0,9,0,9,0,14.815385099966079,,14.801288099959493,14.815385099966079,15.816850899951532,15.816850899951532,16.582428199937567,down,0,0.7559203999117017,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
